Title,Artist,Notes
Rock and Roll Music,The Beatles (Chuck Berry),
Rock Around the Clock,Bill Haley and the Comets,
Rock This Town,The Stray Cats; Brian Setzer,
Rock With You,Michael Jackson,
Rocket Man,Elton John,
Rocky Raccoon,The Beatles,
Roll It On Home,John Mayer,
Romeo + Juliet,Dire Straits,
Rosanna,Toto,
Rosie,John Mayer,
Sadie Hawkins Dance,Relient K,
Say,John Mayer,
Say a Little Prayer,Aretha Franklin,
Seasons of Love,Rent,Showtunes
Seven Nation Army,The White Stripes,
Shake a Tailfeather,Ray Charles,
Shake It Off,Taylor Swift,
Shallow,Lady Gaga,
Share the Well,Caedmon's Call,
She,Ben Abraham + John Flanagan,Aussie
She's Always a Woman to Me,Billy Joel,
She's Got a Way,Billy Joel,
She's the One,Bruce Springsteen,
Shelter Me,The Waifs,Aussie
Shiny,Disney (Moana),
Shiver,Coldplay,
Shotgun,George Ezra,
Shout,The Isley Brothers,
Show Yourself,Disney (Frozen 2),
Shower the People,James Taylor; Justin Timberlake,
Shut Up and Dance,Walk The Moon,
Side to Side,The Cat Empire,Aussie
Sigh No More,Mumford & Sons,
"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,
Simply the Best,Tina Turner; Noah Reid,
Since U Been Gone,Kelly Clarkson,
Sittin' on the Dock of Bay,Otis Redding,
Sittin' Up In My Room,Brandy,
Sky Full of Stars,Coldplay,
Slow Dancing In a Burning Room,John Mayer,
Smells Like Teen Spirit,Nirvana,
So Into You,Tamia,
Somebody to Love,Queen,
Someone New,Paul Kelly,Aussie
Something Happened on the Way To Heaven,Phil Collins,
Something Like Olivia,John Mayer,
Somewhere Over the Rainbow & Wonderful World,Israel Kamakawiwo'ole,
Sound of Silence,Paul Simon,
Space They Cannot Touch,Kate Miller Heidke,Aussie
Spaceman,The Killers,
Sparks Fly,Taylor Swift,
Spoonful of Sugar,Disney (Mary Poppins),
Stacy's Mom,Fountains of Wayne,
Stand By Me,Ben E. King,
Steal My Kisses,Ben Harper,
Still Feel Like Your Man,John Mayer,
Stop This Train,John Mayer,
Stop! The Love You Save,Jackson 5,
Straight Lines,silverchair,Aussie
Strawberry Fields Forever,The Beatles,
Strawberry Wine,Deana Carter,
Stuck In the Middle with You,Stealers Wheel,
Sultans of Swing,Dire Straits,
Summer Breeze,Seals and Crofts,
Summertime Blues,Eddie Cochrane,
Sunscreen,Ira Wolf,
Sunshine On My Shoulders,John Denver,
Supercalifragilisticexpialidocious,Disney (Mary Poppins),
Sweet Caroline,Neil Diamond,
Sweet Creature,Harry Styles,
Table for Two,Caedmon's Call,
Take me to the River,Al Green,
Teenage Dirtbag,Wheatus,
"Thank U, Next",Ariana Grande,
The Boy in the Bubble,Paul Simon,
The Cave,Mumford & Sons,
The Ghost of Tom Joad,Bruce Springsteen,
The Lion Sleeps Tonight,Harry Belafonte,
The Most Beautiful Girl in the World,Prince,
The Next Right Thing,Disney (Frozen 2),
The One I'm Waiting For,Relient K,
The Scientist,Coldplay,
The Sound of Silence,Simon & Garfunkel,
The Story,Brandi Carlisle,
"The Times, They Are A-Changin",Bob Dylan,
The Way You Make Me Feel,Michael Jackson,
The Wire,HAIM,
These Days,Powderfinger,Aussie
Things Happen,Dawes,
Thinking Out Loud,Ed Sheeran,
This is Me,The Greatest Showman,"Group, Showtunes"
This Is On Me,Ben Abraham,Aussie
This Land Is Your Land,Woody Guthrie,
This Little Light of Mine,Harry Dixon Loes,
This Too Shall Be Made Right,Derek Webb,
Three Little Birds,Bob Marley,
Thriller,Michael Jackson,
Time of My Life (from Dirty Dancing),Bill Medley and Jennifer Warnes ,Duet
Time Served,Joey Landreth,
Tiny Dancer,Elton John,
To Her Door,Paul Kelly,Aussie
Together,Tom Tuena,Aussie
Tomorrow,silverchair,Aussie
"Tonight, You Belong to Me",Steve Martin,
Too Late,The Paper Kites,Aussie
Total Eclipse of the Heart,Bonnie Tyler,
Toxic,Britney Spears,
Treat her Right,George Thorougood,
Truth Hurts,Lizzo,
Try A Little Tenderness,Otis Redding,
Twenty-Four,Switchfoot,
Twist and Shout,The Beatles (Medley / Russell),
Two of Us,The Beatles,
Two Princes,Spin Doctors,
Unaware,Allen Stone,
Under Pressure,Queen; David Bowie,Duet
Under the Sea,Disney (The Little Mermaid); Alan Menken,
Up on the Roof,Justin Timberlake; The Drifters,
Uptown Funk,Mark Ronson / Bruno Mars,
Use Somebody,Kings of Leon,
Valerie,Amy Winehouse,
Video Killed The Radio Star,Buggles,
Wagon Wheel,Darius Rucker,
Wait For It,Hamilton; Lin Manuel Miranda,Showtunes
Waiting on the World to Change,John Mayer,
Wake Me Up Before You Go-Go,Wham!,
Walk Like an Egyptian,The Bangles,
Walkin' After Midnight,Patsy Cline,
Walking on Sunshine,Katrina and the Waves,
Walt Grace's Submarine Test,John Mayer,
Wanna Be Your Lover,Prince,
Wannabe,Spice Girls,
Want You Back,HAIM,
War Is Over (Happy Christmas),John Lennon & Yoko Ono,
Watch Over Me,Bernard Fanning,Aussie
Watermelon Sugar,Harry Styles,
Waving Through A Window,Dear Evan Hansen,Showtunes
